init 1653015795792
Regular_callback1_latency 4.457000 59
Regular_callback2_latency 6.776000 59
Regular_callback3_latency 9.012000 59
Regular_callback1_latency 4.266000 60
Regular_callback2_latency 6.635000 60
Regular_callback3_latency 8.898000 60
Regular_callback1_latency 4.317000 61
Regular_callback2_latency 6.673000 61
Regular_callback3_latency 10.106000 61
Regular_callback1_latency 4.426000 62
Regular_callback2_latency 6.860000 62
Regular_callback3_latency 9.171000 62
Regular_callback1_latency 4.465000 63
Regular_callback2_latency 8.093000 63
Regular_callback3_latency 11.819000 63
Regular_callback1_latency 4.250000 64
Regular_callback2_latency 6.983000 64
Regular_callback3_latency 12.026000 64
Regular_callback1_latency 4.336000 65
Regular_callback2_latency 6.834000 65
Regular_callback3_latency 9.717000 65
Regular_callback1_latency 4.907000 66
Regular_callback2_latency 7.225000 66
Regular_callback3_latency 9.423000 66
Regular_callback1_latency 4.235000 67
Regular_callback2_latency 6.571000 67
Regular_callback3_latency 8.785000 67
Regular_callback1_latency 4.298000 68
Regular_callback2_latency 6.665000 68
Regular_callback3_latency 8.904000 68
Regular_callback1_latency 4.341000 69
Regular_callback2_latency 6.789000 69
Regular_callback3_latency 9.102000 69
Regular_callback1_latency 4.384000 70
Regular_callback2_latency 6.882000 70
Regular_callback3_latency 10.303000 70
Regular_callback1_latency 7.253000 71
Regular_callback2_latency 9.603000 71
Regular_callback3_latency 12.967000 71
Regular_callback1_latency 4.313000 72
Regular_callback2_latency 6.673000 72
Regular_callback3_latency 8.917000 72
Regular_callback1_latency 4.236000 73
Regular_callback2_latency 6.684000 73
Regular_callback3_latency 8.976000 73
