init 1652949270139
Regular_callback4_latency 12.295000 29
Regular_callback5_latency 28.735000 29
Regular_callback6_latency 35.731000 29
Regular_callback1_latency 15.498000 30
Regular_callback2_latency 30.559000 30
Regular_callback3_latency 43.089000 30
Regular_callback4_latency 12.664000 30
Regular_callback5_latency 28.981000 30
Regular_callback6_latency 47.184000 30
Regular_callback1_latency 44.418000 31
Regular_callback2_latency 73.258000 31
Regular_callback3_latency 170.968000 31
Regular_callback4_latency 111.893000 31
Regular_callback5_latency 144.710000 31
Regular_callback6_latency 161.918000 31
Regular_callback1_latency 20.562000 32
Regular_callback2_latency 32.515000 32
Regular_callback3_latency 45.899000 32
Regular_callback4_latency 12.374000 32
Regular_callback5_latency 28.080000 32
Regular_callback6_latency 43.866000 32
Regular_callback1_latency 12.784000 33
Regular_callback2_latency 28.358000 33
Regular_callback3_latency 43.743000 33
Regular_callback4_latency 12.720000 33
Regular_callback5_latency 23.060000 33
Regular_callback6_latency 43.144000 33
Regular_callback1_latency 27.096000 34
Regular_callback2_latency 50.007000 34
Regular_callback3_latency 72.666000 34
Regular_callback4_latency 30.586000 34
Regular_callback5_latency 45.907000 34
Regular_callback6_latency 56.334000 34
Regular_callback1_latency 39.215000 35
Regular_callback2_latency 67.739000 35
Regular_callback3_latency 78.517000 35
Regular_callback4_latency 24.471000 35
Regular_callback5_latency 39.233000 35
Regular_callback6_latency 49.883000 35
Regular_callback1_latency 26.605000 36
Regular_callback2_latency 73.382000 36
Regular_callback3_latency 134.487000 36
Regular_callback4_latency 89.078000 36
Regular_callback5_latency 104.879000 36
Regular_callback6_latency 118.316000 36
Regular_callback1_latency 36.657000 37
Regular_callback2_latency 52.388000 37
Regular_callback3_latency 87.711000 37
Regular_callback4_latency 54.660000 37
Regular_callback5_latency 65.487000 37
Regular_callback6_latency 76.173000 37
