init 1653014932198
Regular_callback4_latency 19.127000 29
Regular_callback5_latency 25.460000 29
Regular_callback6_latency 37.634000 29
Regular_callback1_latency 15.496000 30
Regular_callback2_latency 23.337000 30
Regular_callback3_latency 45.100000 30
Regular_callback4_latency 20.847000 30
Regular_callback5_latency 36.157000 30
Regular_callback6_latency 42.981000 30
Regular_callback1_latency 12.431000 31
Regular_callback2_latency 30.835000 31
Regular_callback3_latency 37.635000 31
Regular_callback4_latency 12.447000 31
Regular_callback5_latency 33.737000 31
Regular_callback6_latency 41.038000 31
Regular_callback1_latency 12.332000 32
Regular_callback2_latency 34.952000 32
Regular_callback3_latency 41.727000 32
Regular_callback4_latency 12.546000 32
Regular_callback5_latency 30.416000 32
Regular_callback6_latency 40.538000 32
Regular_callback1_latency 14.641000 33
Regular_callback2_latency 31.071000 33
Regular_callback3_latency 43.682000 33
Regular_callback4_latency 13.713000 33
Regular_callback5_latency 29.370000 33
Regular_callback6_latency 45.244000 33
Regular_callback1_latency 11.957000 34
Regular_callback2_latency 28.126000 34
Regular_callback3_latency 34.930000 34
Regular_callback4_latency 18.908000 34
Regular_callback5_latency 29.920000 34
Regular_callback6_latency 40.283000 34
Regular_callback1_latency 14.675000 35
Regular_callback2_latency 32.579000 35
Regular_callback3_latency 56.018000 35
Regular_callback4_latency 19.992000 35
Regular_callback5_latency 35.846000 35
Regular_callback6_latency 50.080000 35
Regular_callback1_latency 12.239000 36
Regular_callback2_latency 24.013000 36
Regular_callback3_latency 41.550000 36
Regular_callback4_latency 12.609000 36
Regular_callback5_latency 25.629000 36
Regular_callback6_latency 52.728000 36
Regular_callback1_latency 16.665000 37
Regular_callback2_latency 28.299000 37
Regular_callback3_latency 50.664000 37
Regular_callback4_latency 12.203000 37
Regular_callback5_latency 20.668000 37
Regular_callback6_latency 34.612000 37
Regular_callback1_latency 11.764000 38
Regular_callback2_latency 32.855000 38
Regular_callback3_latency 39.140000 38
Regular_callback4_latency 54.272000 38
Regular_callback5_latency 60.937000 38
Regular_callback6_latency 76.755000 38
Regular_callback1_latency 14.527000 39
Regular_callback2_latency 32.440000 39
Regular_callback3_latency 43.808000 39
Regular_callback4_latency 19.063000 39
Regular_callback5_latency 25.373000 39
Regular_callback6_latency 44.191000 39
Regular_callback1_latency 12.689000 40
Regular_callback2_latency 33.061000 40
Regular_callback3_latency 40.745000 40
Regular_callback4_latency 27.508000 40
Regular_callback5_latency 51.456000 40
Regular_callback6_latency 93.465000 40
Regular_callback1_latency 13.344000 41
Regular_callback2_latency 25.546000 41
Regular_callback3_latency 40.802000 41
Regular_callback4_latency 12.144000 41
Regular_callback5_latency 29.814000 41
Regular_callback6_latency 55.123000 41
Regular_callback1_latency 15.288000 42
Regular_callback2_latency 27.294000 42
Regular_callback3_latency 42.320000 42
Regular_callback4_latency 12.023000 42
Regular_callback5_latency 36.761000 42
Regular_callback6_latency 58.948000 42
Regular_callback1_latency 21.900000 43
Regular_callback2_latency 47.085000 43
Regular_callback3_latency 53.962000 43
Regular_callback4_latency 35.352000 43
Regular_callback5_latency 49.454000 43
Regular_callback6_latency 68.377000 43
Regular_callback1_latency 12.108000 44
Regular_callback2_latency 33.176000 44
Regular_callback3_latency 39.710000 44
Regular_callback4_latency 20.690000 44
Regular_callback5_latency 38.255000 44
Regular_callback6_latency 69.150000 44
Regular_callback1_latency 24.912000 45
Regular_callback2_latency 42.986000 45
Regular_callback3_latency 56.160000 45
Regular_callback4_latency 12.148000 45
Regular_callback5_latency 32.231000 45
Regular_callback6_latency 48.658000 45
Regular_callback1_latency 12.909000 46
Regular_callback2_latency 33.200000 46
Regular_callback3_latency 39.523000 46
Regular_callback4_latency 12.747000 46
Regular_callback5_latency 25.296000 46
Regular_callback6_latency 38.119000 46
Regular_callback1_latency 14.882000 47
Regular_callback2_latency 32.390000 47
Regular_callback3_latency 57.341000 47
Regular_callback4_latency 12.077000 47
Regular_callback5_latency 22.603000 47
Regular_callback6_latency 34.058000 47
Regular_callback1_latency 15.663000 48
Regular_callback2_latency 32.955000 48
Regular_callback3_latency 55.057000 48
Regular_callback4_latency 12.449000 48
Regular_callback5_latency 31.171000 48
Regular_callback6_latency 41.270000 48
Regular_callback1_latency 52.373000 49
Regular_callback2_latency 61.126000 49
Regular_callback3_latency 80.908000 49
Regular_callback4_latency 16.702000 49
Regular_callback5_latency 41.342000 49
Regular_callback6_latency 58.228000 49
Regular_callback1_latency 11.862000 50
Regular_callback2_latency 22.847000 50
Regular_callback3_latency 28.960000 50
Regular_callback4_latency 19.669000 50
Regular_callback5_latency 42.668000 50
Regular_callback6_latency 68.223000 50
